Bandit,Reward,Algorithm
186,0,Thompson Sampling
187,1,Thompson Sampling
188,1,Thompson Sampling
189,0,Thompson Sampling
190,1,Thompson Sampling
191,1,Thompson Sampling
192,0,Thompson Sampling
193,0,Thompson Sampling
194,0,Thompson Sampling
195,0,Thompson Sampling
196,1,Thompson Sampling
197,0,Thompson Sampling
198,0,Thompson Sampling
199,1,Thompson Sampling
200,1,Thompson Sampling
201,0,Thompson Sampling
202,1,Thompson Sampling
203,0,Thompson Sampling
204,0,Thompson Sampling
205,0,Thompson Sampling
206,1,Thompson Sampling
207,0,Thompson Sampling
208,1,Thompson Sampling
209,0,Thompson Sampling
210,0,Thompson Sampling
211,0,Thompson Sampling
212,0,Thompson Sampling
213,0,Thompson Sampling
214,1,Thompson Sampling
215,0,Thompson Sampling
216,1,Thompson Sampling
217,1,Thompson Sampling
218,1,Thompson Sampling
219,0,Thompson Sampling
220,0,Thompson Sampling
221,0,Thompson Sampling
222,1,Thompson Sampling
223,0,Thompson Sampling
224,1,Thompson Sampling
225,0,Thompson Sampling
226,0,Thompson Sampling
227,1,Thompson Sampling
228,0,Thompson Sampling
229,1,Thompson Sampling
230,1,Thompson Sampling
231,1,Thompson Sampling
232,1,Thompson Sampling
233,1,Thompson Sampling
234,1,Thompson Sampling
235,0,Thompson Sampling
236,0,Thompson Sampling
237,0,Thompson Sampling
238,1,Thompson Sampling
239,1,Thompson Sampling
240,0,Thompson Sampling
241,0,Thompson Sampling
242,1,Thompson Sampling
243,1,Thompson Sampling
244,0,Thompson Sampling
245,1,Thompson Sampling
246,1,Thompson Sampling
247,0,Thompson Sampling
248,0,Thompson Sampling
249,1,Thompson Sampling
250,0,Thompson Sampling
251,0,Thompson Sampling
252,0,Thompson Sampling
253,0,Thompson Sampling
254,0,Thompson Sampling
255,1,Thompson Sampling
256,0,Thompson Sampling
257,0,Thompson Sampling
258,0,Thompson Sampling
259,0,Thompson Sampling
260,1,Thompson Sampling
261,0,Thompson Sampling
262,0,Thompson Sampling
263,0,Thompson Sampling
264,0,Thompson Sampling
265,0,Thompson Sampling
266,1,Thompson Sampling
267,1,Thompson Sampling
268,0,Thompson Sampling
269,0,Thompson Sampling
270,1,Thompson Sampling
271,1,Thompson Sampling
272,0,Thompson Sampling
273,0,Thompson Sampling
274,0,Thompson Sampling
275,0,Thompson Sampling
276,0,Thompson Sampling
277,0,Thompson Sampling
278,0,Thompson Sampling
279,0,Thompson Sampling
280,1,Thompson Sampling
281,0,Thompson Sampling
282,1,Thompson Sampling
283,1,Thompson Sampling
284,0,Thompson Sampling
285,1,Thompson Sampling
286,0,Thompson Sampling
287,0,Thompson Sampling
288,0,Thompson Sampling
289,1,Thompson Sampling
290,0,Thompson Sampling
291,1,Thompson Sampling
292,1,Thompson Sampling
293,1,Thompson Sampling
294,0,Thompson Sampling
295,1,Thompson Sampling
296,0,Thompson Sampling
297,0,Thompson Sampling
298,0,Thompson Sampling
299,1,Thompson Sampling
300,0,Thompson Sampling
301,0,Thompson Sampling
302,1,Thompson Sampling
303,0,Thompson Sampling
304,0,Thompson Sampling
305,0,Thompson Sampling
306,0,Thompson Sampling
307,1,Thompson Sampling
308,1,Thompson Sampling
309,0,Thompson Sampling
310,0,Thompson Sampling
311,0,Thompson Sampling
312,1,Thompson Sampling
313,1,Thompson Sampling
314,1,Thompson Sampling
315,0,Thompson Sampling
316,1,Thompson Sampling
317,0,Thompson Sampling
318,0,Thompson Sampling
319,1,Thompson Sampling
320,0,Thompson Sampling
321,0,Thompson Sampling
322,0,Thompson Sampling
323,0,Thompson Sampling
324,0,Thompson Sampling
325,1,Thompson Sampling
326,0,Thompson Sampling
327,1,Thompson Sampling
328,0,Thompson Sampling
329,1,Thompson Sampling
330,0,Thompson Sampling
331,1,Thompson Sampling
332,0,Thompson Sampling
333,1,Thompson Sampling
334,0,Thompson Sampling
335,1,Thompson Sampling
336,1,Thompson Sampling
337,0,Thompson Sampling
338,0,Thompson Sampling
339,0,Thompson Sampling
340,1,Thompson Sampling
341,1,Thompson Sampling
342,1,Thompson Sampling
343,1,Thompson Sampling
344,0,Thompson Sampling
345,0,Thompson Sampling
346,0,Thompson Sampling
347,1,Thompson Sampling
348,0,Thompson Sampling
349,0,Thompson Sampling
350,0,Thompson Sampling
351,1,Thompson Sampling
352,1,Thompson Sampling
353,0,Thompson Sampling
354,0,Thompson Sampling
355,0,Thompson Sampling
356,1,Thompson Sampling
357,1,Thompson Sampling
358,0,Thompson Sampling
359,1,Thompson Sampling
360,0,Thompson Sampling
361,0,Thompson Sampling
362,0,Thompson Sampling
363,1,Thompson Sampling
364,0,Thompson Sampling
365,1,Thompson Sampling
366,0,Thompson Sampling
367,0,Thompson Sampling
368,0,Thompson Sampling
369,0,Thompson Sampling
370,0,Thompson Sampling
371,0,Thompson Sampling
372,0,Thompson Sampling
373,1,Thompson Sampling
374,0,Thompson Sampling
375,1,Thompson Sampling
376,1,Thompson Sampling
377,0,Thompson Sampling
378,0,Thompson Sampling
379,0,Thompson Sampling
380,1,Thompson Sampling
381,1,Thompson Sampling
382,0,Thompson Sampling
383,1,Thompson Sampling
384,1,Thompson Sampling
385,0,Thompson Sampling
386,0,Thompson Sampling
387,1,Thompson Sampling
388,1,Thompson Sampling
389,1,Thompson Sampling
390,0,Thompson Sampling
391,0,Thompson Sampling
392,1,Thompson Sampling
393,0,Thompson Sampling
394,0,Thompson Sampling
395,0,Thompson Sampling
396,0,Thompson Sampling
397,0,Thompson Sampling
398,0,Thompson Sampling
399,0,Thompson Sampling
400,1,Thompson Sampling
401,0,Thompson Sampling
402,0,Thompson Sampling
403,0,Thompson Sampling
404,1,Thompson Sampling
405,1,Thompson Sampling
406,1,Thompson Sampling
407,1,Thompson Sampling
408,0,Thompson Sampling
409,0,Thompson Sampling
410,0,Thompson Sampling
411,0,Thompson Sampling
412,1,Thompson Sampling
413,0,Thompson Sampling
414,0,Thompson Sampling
415,0,Thompson Sampling
416,0,Thompson Sampling
417,0,Thompson Sampling
418,0,Thompson Sampling
419,1,Thompson Sampling
420,0,Thompson Sampling
421,0,Thompson Sampling
422,0,Thompson Sampling
423,1,Thompson Sampling
424,0,Thompson Sampling
425,1,Thompson Sampling
426,0,Thompson Sampling
427,0,Thompson Sampling
428,0,Thompson Sampling
429,0,Thompson Sampling
430,1,Thompson Sampling
431,1,Thompson Sampling
432,1,Thompson Sampling
433,1,Thompson Sampling
434,0,Thompson Sampling
435,1,Thompson Sampling
436,0,Thompson Sampling
437,0,Thompson Sampling
438,1,Thompson Sampling
439,1,Thompson Sampling
440,1,Thompson Sampling
441,1,Thompson Sampling
442,0,Thompson Sampling
443,0,Thompson Sampling
444,0,Thompson Sampling
445,0,Thompson Sampling
446,0,Thompson Sampling
447,0,Thompson Sampling
448,0,Thompson Sampling
449,0,Thompson Sampling
450,0,Thompson Sampling
451,0,Thompson Sampling
452,0,Thompson Sampling
453,0,Thompson Sampling
454,1,Thompson Sampling
455,0,Thompson Sampling
456,0,Thompson Sampling
457,0,Thompson Sampling
458,0,Thompson Sampling
459,0,Thompson Sampling
460,1,Thompson Sampling
461,0,Thompson Sampling
462,1,Thompson Sampling
463,0,Thompson Sampling
464,0,Thompson Sampling
465,0,Thompson Sampling
466,0,Thompson Sampling
467,0,Thompson Sampling
468,0,Thompson Sampling
469,1,Thompson Sampling
470,1,Thompson Sampling
471,1,Thompson Sampling
472,1,Thompson Sampling
473,0,Thompson Sampling
474,0,Thompson Sampling
475,0,Thompson Sampling
476,0,Thompson Sampling
477,0,Thompson Sampling
478,1,Thompson Sampling
479,1,Thompson Sampling
480,0,Thompson Sampling
481,1,Thompson Sampling
482,1,Thompson Sampling
483,0,Thompson Sampling
484,0,Thompson Sampling
485,0,Thompson Sampling
486,1,Thompson Sampling
487,1,Thompson Sampling
488,0,Thompson Sampling
489,1,Thompson Sampling
490,0,Thompson Sampling
491,0,Thompson Sampling
492,0,Thompson Sampling
493,1,Thompson Sampling
494,0,Thompson Sampling
495,0,Thompson Sampling
496,0,Thompson Sampling
497,1,Thompson Sampling
498,1,Thompson Sampling
499,1,Thompson Sampling
500,1,Thompson Sampling
501,0,Thompson Sampling
502,1,Thompson Sampling
503,1,Thompson Sampling
504,0,Thompson Sampling
505,1,Thompson Sampling
506,0,Thompson Sampling
507,1,Thompson Sampling
508,0,Thompson Sampling
509,0,Thompson Sampling
510,1,Thompson Sampling
511,0,Thompson Sampling
512,0,Thompson Sampling
513,0,Thompson Sampling
514,0,Thompson Sampling
515,0,Thompson Sampling
516,1,Thompson Sampling
517,0,Thompson Sampling
518,0,Thompson Sampling
519,1,Thompson Sampling
520,1,Thompson Sampling
521,0,Thompson Sampling
522,1,Thompson Sampling
523,0,Thompson Sampling
524,0,Thompson Sampling
525,1,Thompson Sampling
526,0,Thompson Sampling
527,1,Thompson Sampling
528,1,Thompson Sampling
529,1,Thompson Sampling
530,0,Thompson Sampling
531,0,Thompson Sampling
532,1,Thompson Sampling
533,1,Thompson Sampling
534,1,Thompson Sampling
535,0,Thompson Sampling
536,0,Thompson Sampling
537,1,Thompson Sampling
538,0,Thompson Sampling
539,0,Thompson Sampling
540,0,Thompson Sampling
541,0,Thompson Sampling
542,1,Thompson Sampling
543,1,Thompson Sampling
544,0,Thompson Sampling
545,0,Thompson Sampling
546,0,Thompson Sampling
547,1,Thompson Sampling
548,0,Thompson Sampling
549,0,Thompson Sampling
550,1,Thompson Sampling
551,0,Thompson Sampling
552,1,Thompson Sampling
553,0,Thompson Sampling
554,0,Thompson Sampling
555,0,Thompson Sampling
556,0,Thompson Sampling
557,0,Thompson Sampling
558,1,Thompson Sampling
559,1,Thompson Sampling
560,1,Thompson Sampling
561,0,Thompson Sampling
562,0,Thompson Sampling
563,1,Thompson Sampling
564,0,Thompson Sampling
565,0,Thompson Sampling
566,0,Thompson Sampling
567,0,Thompson Sampling
568,1,Thompson Sampling
569,1,Thompson Sampling
570,0,Thompson Sampling
571,0,Thompson Sampling
572,0,Thompson Sampling
573,1,Thompson Sampling
574,0,Thompson Sampling
575,1,Thompson Sampling
576,0,Thompson Sampling
577,1,Thompson Sampling
578,0,Thompson Sampling
579,0,Thompson Sampling
580,1,Thompson Sampling
581,1,Thompson Sampling
582,0,Thompson Sampling
583,1,Thompson Sampling
584,0,Thompson Sampling
585,1,Thompson Sampling
586,1,Thompson Sampling
587,0,Thompson Sampling
588,1,Thompson Sampling
589,0,Thompson Sampling
590,1,Thompson Sampling
591,0,Thompson Sampling
592,1,Thompson Sampling
593,0,Thompson Sampling
594,0,Thompson Sampling
595,0,Thompson Sampling
596,1,Thompson Sampling
597,1,Thompson Sampling
598,1,Thompson Sampling
599,0,Thompson Sampling
600,1,Thompson Sampling
601,1,Thompson Sampling
602,1,Thompson Sampling
603,0,Thompson Sampling
604,1,Thompson Sampling
605,0,Thompson Sampling
606,0,Thompson Sampling
607,1,Thompson Sampling
608,0,Thompson Sampling
609,0,Thompson Sampling
610,0,Thompson Sampling
611,1,Thompson Sampling
612,0,Thompson Sampling
613,1,Thompson Sampling
614,1,Thompson Sampling
615,0,Thompson Sampling
616,0,Thompson Sampling
617,1,Thompson Sampling
618,0,Thompson Sampling
619,1,Thompson Sampling
620,1,Thompson Sampling
621,0,Thompson Sampling
622,0,Thompson Sampling
623,0,Thompson Sampling
624,0,Thompson Sampling
625,0,Thompson Sampling
626,0,Thompson Sampling
627,0,Thompson Sampling
628,1,Thompson Sampling
629,0,Thompson Sampling
630,0,Thompson Sampling
631,1,Thompson Sampling
632,0,Thompson Sampling
633,1,Thompson Sampling
634,0,Thompson Sampling
635,0,Thompson Sampling
636,1,Thompson Sampling
637,1,Thompson Sampling
638,0,Thompson Sampling
639,0,Thompson Sampling
640,0,Thompson Sampling
641,0,Thompson Sampling
642,0,Thompson Sampling
643,0,Thompson Sampling
644,0,Thompson Sampling
645,0,Thompson Sampling
646,1,Thompson Sampling
647,0,Thompson Sampling
648,0,Thompson Sampling
649,0,Thompson Sampling
650,0,Thompson Sampling
651,0,Thompson Sampling
652,0,Thompson Sampling
653,1,Thompson Sampling
654,1,Thompson Sampling
655,0,Thompson Sampling
656,1,Thompson Sampling
657,0,Thompson Sampling
658,1,Thompson Sampling
659,1,Thompson Sampling
660,1,Thompson Sampling
661,0,Thompson Sampling
662,1,Thompson Sampling
663,1,Thompson Sampling
664,0,Thompson Sampling
665,0,Thompson Sampling
666,1,Thompson Sampling
667,1,Thompson Sampling
668,1,Thompson Sampling
669,0,Thompson Sampling
670,0,Thompson Sampling
671,0,Thompson Sampling
672,0,Thompson Sampling
673,0,Thompson Sampling
674,0,Thompson Sampling
675,0,Thompson Sampling
676,1,Thompson Sampling
677,0,Thompson Sampling
678,1,Thompson Sampling
679,0,Thompson Sampling
680,0,Thompson Sampling
681,1,Thompson Sampling
682,0,Thompson Sampling
683,1,Thompson Sampling
684,0,Thompson Sampling
685,0,Thompson Sampling
686,1,Thompson Sampling
687,1,Thompson Sampling
688,1,Thompson Sampling
689,1,Thompson Sampling
690,0,Thompson Sampling
691,1,Thompson Sampling
692,0,Thompson Sampling
693,1,Thompson Sampling
694,1,Thompson Sampling
695,1,Thompson Sampling
696,0,Thompson Sampling
697,1,Thompson Sampling
698,1,Thompson Sampling
699,0,Thompson Sampling
700,0,Thompson Sampling
701,1,Thompson Sampling
702,0,Thompson Sampling
703,0,Thompson Sampling
704,0,Thompson Sampling
705,1,Thompson Sampling
706,0,Thompson Sampling
707,0,Thompson Sampling
708,0,Thompson Sampling
709,1,Thompson Sampling
710,1,Thompson Sampling
711,0,Thompson Sampling
712,0,Thompson Sampling
713,1,Thompson Sampling
714,1,Thompson Sampling
715,0,Thompson Sampling
716,0,Thompson Sampling
717,0,Thompson Sampling
718,0,Thompson Sampling
719,0,Thompson Sampling
720,0,Thompson Sampling
721,1,Thompson Sampling
722,1,Thompson Sampling
723,0,Thompson Sampling
724,1,Thompson Sampling
725,1,Thompson Sampling
726,0,Thompson Sampling
727,0,Thompson Sampling
728,0,Thompson Sampling
729,0,Thompson Sampling
730,1,Thompson Sampling
731,0,Thompson Sampling
732,0,Thompson Sampling
733,0,Thompson Sampling
734,0,Thompson Sampling
735,0,Thompson Sampling
736,0,Thompson Sampling
737,1,Thompson Sampling
738,0,Thompson Sampling
739,1,Thompson Sampling
740,1,Thompson Sampling
741,1,Thompson Sampling
742,0,Thompson Sampling
743,0,Thompson Sampling
744,0,Thompson Sampling
745,0,Thompson Sampling
746,0,Thompson Sampling
747,0,Thompson Sampling
748,1,Thompson Sampling
749,0,Thompson Sampling
750,0,Thompson Sampling
751,1,Thompson Sampling
752,0,Thompson Sampling
753,1,Thompson Sampling
754,0,Thompson Sampling
755,1,Thompson Sampling
756,0,Thompson Sampling
757,0,Thompson Sampling
758,1,Thompson Sampling
759,1,Thompson Sampling
760,1,Thompson Sampling
761,1,Thompson Sampling
762,0,Thompson Sampling
763,0,Thompson Sampling
764,0,Thompson Sampling
765,1,Thompson Sampling
766,0,Thompson Sampling
767,0,Thompson Sampling
768,1,Thompson Sampling
769,0,Thompson Sampling
770,1,Thompson Sampling
771,1,Thompson Sampling
772,1,Thompson Sampling
773,1,Thompson Sampling
774,0,Thompson Sampling
775,1,Thompson Sampling
776,0,Thompson Sampling
777,0,Thompson Sampling
778,1,Thompson Sampling
779,0,Thompson Sampling
780,1,Thompson Sampling
781,0,Thompson Sampling
782,0,Thompson Sampling
783,0,Thompson Sampling
784,0,Thompson Sampling
785,0,Thompson Sampling
786,0,Thompson Sampling
787,0,Thompson Sampling
788,1,Thompson Sampling
789,1,Thompson Sampling
790,0,Thompson Sampling
791,1,Thompson Sampling
792,0,Thompson Sampling
793,1,Thompson Sampling
794,1,Thompson Sampling
795,0,Thompson Sampling
796,0,Thompson Sampling
797,0,Thompson Sampling
798,1,Thompson Sampling
799,1,Thompson Sampling
800,0,Thompson Sampling
801,0,Thompson Sampling
802,0,Thompson Sampling
803,0,Thompson Sampling
804,0,Thompson Sampling
805,1,Thompson Sampling
806,0,Thompson Sampling
807,0,Thompson Sampling
808,0,Thompson Sampling
809,0,Thompson Sampling
810,1,Thompson Sampling
811,1,Thompson Sampling
812,0,Thompson Sampling
813,1,Thompson Sampling
814,1,Thompson Sampling
815,0,Thompson Sampling
816,1,Thompson Sampling
817,0,Thompson Sampling
818,1,Thompson Sampling
819,0,Thompson Sampling
820,0,Thompson Sampling
821,0,Thompson Sampling
822,1,Thompson Sampling
823,1,Thompson Sampling
824,1,Thompson Sampling
825,0,Thompson Sampling
826,0,Thompson Sampling
827,0,Thompson Sampling
828,0,Thompson Sampling
829,1,Thompson Sampling
830,0,Thompson Sampling
831,1,Thompson Sampling
832,0,Thompson Sampling
833,0,Thompson Sampling
834,0,Thompson Sampling
835,1,Thompson Sampling
836,0,Thompson Sampling
837,0,Thompson Sampling
838,1,Thompson Sampling
839,1,Thompson Sampling
840,0,Thompson Sampling
841,0,Thompson Sampling
842,0,Thompson Sampling
843,0,Thompson Sampling
844,0,Thompson Sampling
845,1,Thompson Sampling
846,0,Thompson Sampling
847,0,Thompson Sampling
848,1,Thompson Sampling
849,0,Thompson Sampling
850,1,Thompson Sampling
851,0,Thompson Sampling
852,1,Thompson Sampling
853,1,Thompson Sampling
854,1,Thompson Sampling
855,0,Thompson Sampling
856,0,Thompson Sampling
857,0,Thompson Sampling
858,1,Thompson Sampling
859,0,Thompson Sampling
860,1,Thompson Sampling
861,0,Thompson Sampling
862,0,Thompson Sampling
863,0,Thompson Sampling
864,0,Thompson Sampling
865,1,Thompson Sampling
866,1,Thompson Sampling
867,0,Thompson Sampling
868,0,Thompson Sampling
869,0,Thompson Sampling
870,0,Thompson Sampling
871,0,Thompson Sampling
872,1,Thompson Sampling
873,1,Thompson Sampling
874,0,Thompson Sampling
875,0,Thompson Sampling
876,0,Thompson Sampling
877,0,Thompson Sampling
878,1,Thompson Sampling
879,0,Thompson Sampling
880,1,Thompson Sampling
881,0,Thompson Sampling
882,0,Thompson Sampling
883,0,Thompson Sampling
884,0,Thompson Sampling
885,1,Thompson Sampling
886,1,Thompson Sampling
887,0,Thompson Sampling
888,0,Thompson Sampling
889,0,Thompson Sampling
890,0,Thompson Sampling
891,1,Thompson Sampling
892,0,Thompson Sampling
893,0,Thompson Sampling
894,1,Thompson Sampling
895,0,Thompson Sampling
896,1,Thompson Sampling
897,0,Thompson Sampling
898,1,Thompson Sampling
899,1,Thompson Sampling
900,0,Thompson Sampling
901,0,Thompson Sampling
902,0,Thompson Sampling
903,1,Thompson Sampling
904,1,Thompson Sampling
905,0,Thompson Sampling
906,0,Thompson Sampling
907,0,Thompson Sampling
908,0,Thompson Sampling
909,1,Thompson Sampling
910,0,Thompson Sampling
911,1,Thompson Sampling
912,1,Thompson Sampling
913,0,Thompson Sampling
914,1,Thompson Sampling
915,1,Thompson Sampling
916,0,Thompson Sampling
917,0,Thompson Sampling
918,0,Thompson Sampling
919,0,Thompson Sampling
920,1,Thompson Sampling
921,1,Thompson Sampling
922,0,Thompson Sampling
923,0,Thompson Sampling
924,1,Thompson Sampling
925,0,Thompson Sampling
926,1,Thompson Sampling
927,0,Thompson Sampling
928,0,Thompson Sampling
929,1,Thompson Sampling
930,0,Thompson Sampling
931,0,Thompson Sampling
932,0,Thompson Sampling
933,1,Thompson Sampling
934,0,Thompson Sampling
935,0,Thompson Sampling
936,1,Thompson Sampling
937,0,Thompson Sampling
938,0,Thompson Sampling
939,0,Thompson Sampling
940,0,Thompson Sampling
941,0,Thompson Sampling
942,1,Thompson Sampling
943,1,Thompson Sampling
944,0,Thompson Sampling
945,1,Thompson Sampling
946,1,Thompson Sampling
947,0,Thompson Sampling
948,0,Thompson Sampling
949,0,Thompson Sampling
950,0,Thompson Sampling
951,0,Thompson Sampling
952,0,Thompson Sampling
953,0,Thompson Sampling
954,0,Thompson Sampling
955,0,Thompson Sampling
956,0,Thompson Sampling
957,0,Thompson Sampling
958,0,Thompson Sampling
959,0,Thompson Sampling
960,1,Thompson Sampling
961,0,Thompson Sampling
962,0,Thompson Sampling
963,1,Thompson Sampling
964,0,Thompson Sampling
965,0,Thompson Sampling
966,1,Thompson Sampling
967,1,Thompson Sampling
968,1,Thompson Sampling
969,0,Thompson Sampling
970,0,Thompson Sampling
971,1,Thompson Sampling
972,1,Thompson Sampling
973,0,Thompson Sampling
974,0,Thompson Sampling
975,1,Thompson Sampling
976,1,Thompson Sampling
977,0,Thompson Sampling
978,0,Thompson Sampling
979,0,Thompson Sampling
980,1,Thompson Sampling
981,0,Thompson Sampling
982,1,Thompson Sampling
983,0,Thompson Sampling
984,0,Thompson Sampling
985,0,Thompson Sampling
986,0,Thompson Sampling
987,1,Thompson Sampling
988,1,Thompson Sampling
989,0,Thompson Sampling
990,1,Thompson Sampling
991,1,Thompson Sampling
992,1,Thompson Sampling
993,0,Thompson Sampling
994,1,Thompson Sampling
995,0,Thompson Sampling
996,1,Thompson Sampling
997,1,Thompson Sampling
998,0,Thompson Sampling
999,0,Thompson Sampling
1000,0,Thompson Sampling
1001,0,Thompson Sampling
1002,0,Thompson Sampling
1003,0,Thompson Sampling
1004,1,Thompson Sampling
1005,0,Thompson Sampling
1006,1,Thompson Sampling
1007,1,Thompson Sampling
1008,0,Thompson Sampling
1009,0,Thompson Sampling
1010,0,Thompson Sampling
1011,0,Thompson Sampling
1012,0,Thompson Sampling
1013,0,Thompson Sampling
1014,0,Thompson Sampling
1015,0,Thompson Sampling
1016,1,Thompson Sampling
1017,1,Thompson Sampling
1018,1,Thompson Sampling
1019,0,Thompson Sampling
1020,0,Thompson Sampling
1021,0,Thompson Sampling
1022,0,Thompson Sampling
1023,0,Thompson Sampling
1024,1,Thompson Sampling
1025,0,Thompson Sampling
1026,0,Thompson Sampling
1027,1,Thompson Sampling
1028,1,Thompson Sampling
1029,0,Thompson Sampling
1030,0,Thompson Sampling
1031,0,Thompson Sampling
1032,0,Thompson Sampling
1033,0,Thompson Sampling
1034,1,Thompson Sampling
1035,0,Thompson Sampling
1036,0,Thompson Sampling
1037,0,Thompson Sampling
1038,1,Thompson Sampling
1039,1,Thompson Sampling
1040,0,Thompson Sampling
1041,1,Thompson Sampling
1042,0,Thompson Sampling
1043,0,Thompson Sampling
1044,0,Thompson Sampling
1045,1,Thompson Sampling
1046,0,Thompson Sampling
1047,1,Thompson Sampling
1048,1,Thompson Sampling
1049,0,Thompson Sampling
1050,1,Thompson Sampling
1051,0,Thompson Sampling
1052,0,Thompson Sampling
1053,1,Thompson Sampling
1054,0,Thompson Sampling
1055,0,Thompson Sampling
1056,1,Thompson Sampling
1057,1,Thompson Sampling
1058,0,Thompson Sampling
1059,0,Thompson Sampling
1060,1,Thompson Sampling
1061,0,Thompson Sampling
1062,0,Thompson Sampling
1063,1,Thompson Sampling
1064,0,Thompson Sampling
1065,0,Thompson Sampling
1066,0,Thompson Sampling
1067,0,Thompson Sampling
1068,0,Thompson Sampling
1069,1,Thompson Sampling
